,0,1,2,3,4,5,6,7,HH,freq,rk,ra,u1,u2,k5,k8
962,1.0,9.0,14.0,11.0,12.0,11.0,12.0,12.0,31352478631.0,5146.0,13280755.0,0.4709017020923229,7.0038505,5.682935,2,3
963,1.0,16.0,10.0,13.0,11.0,12.0,12.0,12.0,31357417521.0,5138.0,13285893.0,0.4710838824687661,0.90297943,0.7123353,1,4
964,1.0,14.0,9.0,12.0,12.0,11.0,11.0,12.0,31239107065.0,5123.0,13291016.0,0.4712655309834641,1.7037202,-0.3846611,1,4
965,3.0,15.0,19.0,13.0,13.0,11.0,12.0,12.0,31352736737.0,5114.0,13296130.0,0.4714468603811151,0.8679362,8.406099,4,1
966,2.0,12.0,18.0,15.0,12.0,12.0,11.0,12.0,31244296954.0,5114.0,13301244.0,0.4716281897787661,1.1601325,9.555561,4,1
967,1.0,7.0,12.0,11.0,12.0,12.0,12.0,12.0,31357631251.0,5108.0,13306352.0,0.471809306431719,8.647397,5.42888,2,5
968,1.0,9.0,8.0,12.0,12.0,12.0,12.0,12.0,31357640007.0,5108.0,13311460.0,0.4719904230846719,9.489654,4.426064,2,5
969,1.0,12.0,16.0,13.0,12.0,13.0,12.0,13.0,33857166113.0,5107.0,13316567.0,0.4721715042801751,4.9658036,4.2522016,5,8
970,1.0,13.0,9.0,12.0,11.0,11.0,11.0,12.0,31238872787.0,5106.0,13321673.0,0.4723525500182287,2.2506807,-0.77263194,3,6
971,2.0,12.0,17.0,15.0,12.0,13.0,12.0,12.0,31362830006.0,5104.0,13326777.0,0.4725335248413829,1.2317754,9.595513,4,1
972,4.0,13.0,19.0,16.0,12.0,13.0,11.0,12.0,31249461742.0,5095.0,13331872.0,0.47271418054749,0.015317721,9.518358,4,1
973,1.0,15.0,14.0,15.0,12.0,13.0,12.0,12.0,31362828619.0,5093.0,13336965.0,0.4728947653386977,2.5431566,3.2642639,1,2
974,2.0,11.0,18.0,14.0,12.0,12.0,12.0,12.0,31357666188.0,5092.0,13342057.0,0.4730753146724558,1.6128285,9.45154,4,1
975,1.0,14.0,16.0,10.0,12.0,10.0,13.0,12.0,31460695333.0,5089.0,13347146.0,0.4732557576338648,3.1110256,5.596439,5,8
976,3.0,15.0,18.0,13.0,12.0,11.0,12.0,12.0,31352501997.0,5088.0,13352234.0,0.4734361651378242,0.7673534,8.273267,4,1
977,1.0,7.0,9.0,12.0,13.0,12.0,12.0,12.0,31357874703.0,5086.0,13357320.0,0.4736165017268842,9.475197,4.82172,2,5
978,3.0,15.0,18.0,15.0,13.0,12.0,12.0,12.0,31357911181.0,5085.0,13362405.0,0.4737968028584945,0.10524383,8.515142,4,1
979,1.0,12.0,16.0,13.0,12.0,12.0,12.0,12.0,31357654593.0,5070.0,13367475.0,0.4739765721283597,4.948147,4.249998,5,8
980,0.0,15.0,12.0,12.0,11.0,11.0,11.0,12.0,31238874282.0,5069.0,13372544.0,0.4741563059407751,2.6848683,0.76145524,3,4
981,0.0,11.0,14.0,12.0,11.0,12.0,12.0,14.0,36346124474.0,5068.0,13377612.0,0.474336004295741,5.5384426,0.26818743,3,6
982,1.0,12.0,15.0,11.0,12.0,11.0,12.0,12.0,31352479181.0,5066.0,13382678.0,0.4745156317358074,4.6699305,5.410323,5,8
983,2.0,14.0,18.0,10.0,12.0,10.0,12.0,12.0,31347316398.0,5064.0,13387742.0,0.4746951882609745,2.2992656,7.620256,4,7
984,3.0,15.0,18.0,10.0,13.0,10.0,13.0,12.0,31460930581.0,5063.0,13392805.0,0.4748747093286919,2.1854935,7.680473,4,7
985,2.0,13.0,17.0,15.0,12.0,13.0,12.0,12.0,31362830028.0,5063.0,13397868.0,0.4750542303964093,1.1066654,9.361632,4,1
986,1.0,16.0,15.0,13.0,13.0,12.0,12.0,12.0,31357888453.0,5059.0,13402927.0,0.475233609634328,2.0306747,4.1197586,5,2
987,2.0,18.0,11.0,13.0,12.0,12.0,12.0,12.0,31357652306.0,5058.0,13407985.0,0.475412953414797,0.26571664,1.636353,1,4
988,2.0,11.0,18.0,15.0,12.0,12.0,12.0,12.0,31357676836.0,5057.0,13413042.0,0.4755922617378165,1.3950804,9.741963,4,1
989,3.0,14.0,19.0,15.0,12.0,12.0,11.0,12.0,31244297483.0,5055.0,13418097.0,0.4757714991459364,0.19344565,8.950567,4,1
990,1.0,11.0,15.0,11.0,11.0,11.0,12.0,13.0,33846602791.0,5054.0,13423151.0,0.4759507010966068,5.157075,5.423584,5,8
991,1.0,8.0,11.0,11.0,12.0,12.0,12.0,12.0,31357630789.0,5048.0,13428199.0,0.476129690302579,9.056931,5.015169,2,5
992,1.0,7.0,10.0,13.0,13.0,12.0,12.0,12.0,31357885835.0,5045.0,13433244.0,0.4763085731362022,9.336449,4.845678,2,5
993,1.0,13.0,16.0,10.0,12.0,11.0,12.0,12.0,31352469039.0,5045.0,13438289.0,0.4764874559698255,3.847774,5.5604725,5,8
994,2.0,15.0,16.0,9.0,13.0,10.0,13.0,12.0,31460918964.0,5044.0,13443333.0,0.476666303345999,2.4923995,6.8374677,4,7
995,1.0,13.0,15.0,10.0,12.0,11.0,12.0,12.0,31352468555.0,5043.0,13448376.0,0.4768451152647229,3.757782,5.5717335,5,8
996,1.0,15.0,14.0,13.0,12.0,11.0,11.0,12.0,31239120155.0,5040.0,13453416.0,0.4770238208110977,2.485683,3.7295086,5,2
997,0.0,13.0,13.0,13.0,11.0,11.0,11.0,12.0,31238885370.0,5015.0,13458431.0,0.4772016399212306,4.1684628,0.33331975,3,6
998,1.0,13.0,16.0,12.0,12.0,12.0,12.0,12.0,31357643967.0,5013.0,13463444.0,0.4773793881164641,4.195792,4.7294416,5,8
999,1.0,15.0,13.0,14.0,12.0,13.0,12.0,12.0,31362817487.0,5004.0,13468448.0,0.4775568171946506,2.1419806,2.7140946,1,2
1000,0.0,14.0,10.0,12.0,11.0,12.0,12.0,13.0,33851764716.0,5002.0,13473450.0,0.4777341753579377,2.8919432,-0.36415386,3,6
1001,1.0,17.0,14.0,12.0,12.0,11.0,12.0,12.0,31352489455.0,4998.0,13478448.0,0.47791139169142605,1.5182672,4.195781,1,2
1002,0.0,11.0,13.0,13.0,12.0,12.0,12.0,12.0,31357653118.0,4994.0,13483442.0,0.4780884661951157,5.112483,-0.26158348,3,6
1003,3.0,14.0,19.0,11.0,13.0,10.0,13.0,12.0,31460941691.0,4993.0,13488435.0,0.4782655052413557,1.7931443,7.994538,4,7
1004,2.0,15.0,17.0,11.0,13.0,11.0,13.0,12.0,31466094376.0,4986.0,13493421.0,0.4784422960854479,1.8135659,7.1049886,4,7
1005,1.0,8.0,14.0,14.0,12.0,12.0,12.0,12.0,31357664185.0,4982.0,13498403.0,0.4786189450997415,7.577304,4.960349,2,3
1006,2.0,18.0,10.0,11.0,13.0,12.0,12.0,12.0,31357864782.0,4978.0,13503381.0,0.4787954522842362,-0.07901744,1.3939344,1,4
1007,0.0,14.0,10.0,13.0,13.0,12.0,12.0,12.0,31357885988.0,4974.0,13508355.0,0.4789718176389324,2.7636693,-0.4303632,3,6
1008,2.0,5.0,11.0,11.0,12.0,12.0,12.0,12.0,31357630724.0,4973.0,13513328.0,0.4791481475361789,9.515893,6.008282,2,5
1009,1.0,15.0,14.0,14.0,11.0,12.0,11.0,12.0,31244050179.0,4969.0,13518297.0,0.4793243356036266,2.5864477,3.4356503,5,2
1010,0.0,14.0,11.0,12.0,11.0,11.0,11.0,13.0,33733231664.0,4968.0,13523265.0,0.4795004882136246,2.990518,0.032187935,3,6
1011,3.0,15.0,18.0,14.0,12.0,11.0,12.0,12.0,31352512645.0,4965.0,13528230.0,0.4796765344512736,0.52313673,8.387618,4,1
1012,3.0,14.0,19.0,13.0,13.0,11.0,12.0,12.0,31352736715.0,4963.0,13533193.0,0.4798525097740233,0.8771455,8.532561,4,1
1013,0.0,11.0,14.0,11.0,11.0,11.0,12.0,13.0,33846602306.0,4962.0,13538155.0,0.4800284496393233,5.4064965,0.6472872,3,6
